epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,576.408,0.73818,0.51759,1.08989,0.90186,0.88158,0.94329,0.66777,0.79829,0.4808,1.17535,0.00129293,0.00129293,0.00129293
70,585.771,0.76868,0.50817,1.10643,0.86325,0.88158,0.93512,0.67148,0.78755,0.51672,1.14892,0.00128742,0.00128742,0.00128742
71,595.278,0.76362,0.52532,1.11614,0.89554,0.85526,0.89297,0.64828,0.78999,0.53929,1.15862,0.00128192,0.00128192,0.00128192
72,604.483,0.73617,0.52006,1.09275,0.96045,0.85361,0.90583,0.66283,0.7851,0.53305,1.16321,0.00127642,0.00127642,0.00127642
73,614.526,0.74762,0.51715,1.09794,0.90086,0.89197,0.91615,0.65552,0.79965,0.62758,1.14374,0.00127092,0.00127092,0.00127092
74,624.872,0.75061,0.4932,1.12261,0.88707,0.81579,0.8917,0.65282,0.79701,0.63234,1.14366,0.00126542,0.00126542,0.00126542
75,634.049,0.76465,0.53067,1.09989,0.88766,0.90789,0.94278,0.69359,0.7716,0.56491,1.13207,0.00125992,0.00125992,0.00125992
76,644.212,0.73919,0.49403,1.08712,0.90857,0.92959,0.94377,0.66886,0.78062,0.46753,1.14174,0.00125442,0.00125442,0.00125442
77,652.812,0.72735,0.48811,1.06646,0.86619,0.90791,0.92214,0.67269,0.78015,0.49217,1.11499,0.00124892,0.00124892,0.00124892
78,662.596,0.73201,0.48117,1.0898,0.92482,0.90789,0.94966,0.69132,0.77151,0.44219,1.10003,0.00124342,0.00124342,0.00124342
79,671.526,0.69435,0.47878,1.08569,0.90601,0.91723,0.9258,0.67595,0.75902,0.46567,1.12961,0.00123791,0.00123791,0.00123791
80,683.168,0.74569,0.49668,1.09005,0.9632,0.86842,0.95271,0.67535,0.79795,0.47779,1.15095,0.00123241,0.00123241,0.00123241
81,696.252,0.73593,0.50588,1.10961,0.9426,0.8987,0.94905,0.68462,0.79557,0.49167,1.15315,0.00122691,0.00122691,0.00122691
82,708.055,0.73597,0.47885,1.08606,0.85786,0.89474,0.9336,0.65513,0.844,0.50931,1.2061,0.00122141,0.00122141,0.00122141
83,717.708,0.73984,0.47091,1.08948,0.87612,0.93421,0.9513,0.66578,0.86569,0.48923,1.20904,0.00121591,0.00121591,0.00121591
