epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,6203.03,0.92876,0.58072,1.27677,0.8897,0.97222,0.96311,0.56045,1.20769,0.544,1.70582,0.00106188,0.00106188,0.00106188
112,6267.32,0.91943,0.58037,1.26991,0.94915,0.94444,0.96955,0.56492,1.27052,0.55282,1.7783,0.00105638,0.00105638,0.00105638
113,6333.44,0.87313,0.56209,1.25262,0.97883,0.92972,0.96803,0.57408,1.26599,0.57647,1.80494,0.00105088,0.00105088,0.00105088
114,6393.56,0.86754,0.55734,1.25259,0.93632,0.90634,0.95532,0.57085,1.23406,0.53424,1.7496,0.00104538,0.00104538,0.00104538
115,6453.28,0.85743,0.5553,1.23421,0.92906,0.95833,0.96876,0.5683,1.25893,0.55036,1.78852,0.00103987,0.00103987,0.00103987
116,6533.37,0.90189,0.55067,1.25139,0.92932,0.93056,0.96337,0.55332,1.28548,0.57476,1.8065,0.00103437,0.00103437,0.00103437
117,6619.17,0.88819,0.5333,1.24554,0.95895,0.94444,0.95774,0.56104,1.24996,0.5584,1.79181,0.00102887,0.00102887,0.00102887
118,6697.58,0.88789,0.56032,1.24351,0.9561,0.97048,0.96404,0.53469,1.2825,0.595,1.79709,0.00102337,0.00102337,0.00102337
119,6745.77,0.90149,0.53957,1.25643,0.94851,0.93056,0.96345,0.55345,1.30244,0.576,1.80106,0.00101787,0.00101787,0.00101787
120,6794.23,0.9072,0.56208,1.26361,0.92277,0.93056,0.95706,0.55297,1.28928,0.54987,1.78975,0.00101237,0.00101237,0.00101237
121,6842.39,0.86217,0.53478,1.23209,0.94618,0.88889,0.94634,0.54916,1.2847,0.57927,1.78017,0.00100687,0.00100687,0.00100687
122,6891.18,0.94132,0.5876,1.29092,0.9598,0.88889,0.94782,0.57321,1.23191,0.56918,1.72463,0.00100137,0.00100137,0.00100137
123,6940.38,0.85279,0.51619,1.22869,0.9506,0.91667,0.95324,0.57445,1.26805,0.60485,1.75705,0.000995866,0.000995866,0.000995866
124,6993.86,0.83383,0.51552,1.23016,0.79946,0.84056,0.90631,0.51616,1.3829,0.73837,1.86082,0.000990365,0.000990365,0.000990365
125,7046.73,0.8824,0.54902,1.2507,0.86484,0.95833,0.94078,0.53688,1.3155,0.57951,1.775,0.000984864,0.000984864,0.000984864
126,7099.6,0.88051,0.53212,1.24,0.96121,0.88889,0.94477,0.55104,1.28515,0.59204,1.80287,0.000979362,0.000979362,0.000979362
127,7152.9,0.87751,0.56851,1.25951,0.93729,0.8977,0.92239,0.53974,1.30378,0.65983,1.79976,0.000973861,0.000973861,0.000973861
128,7206.81,0.84423,0.52238,1.2252,0.98934,0.91667,0.96189,0.56139,1.2533,0.58325,1.78323,0.00096836,0.00096836,0.00096836
129,7260.15,0.83189,0.5291,1.23516,0.97349,0.93636,0.96973,0.57048,1.2539,0.56627,1.81287,0.000962859,0.000962859,0.000962859
130,7312.11,0.85319,0.53217,1.23715,0.97206,0.89374,0.95284,0.564,1.24012,0.56012,1.84256,0.000957358,0.000957358,0.000957358
131,7361.9,0.84876,0.52708,1.23158,0.91911,0.88889,0.92723,0.55364,1.21406,0.56602,1.77583,0.000951857,0.000951857,0.000951857
132,7411.91,0.84298,0.53645,1.23509,0.91187,0.93056,0.93502,0.54492,1.29604,0.55684,1.87523,0.000946356,0.000946356,0.000946356
133,7461.71,0.82375,0.5172,1.19853,0.95935,0.94134,0.96149,0.56403,1.26544,0.53901,1.85644,0.000940855,0.000940855,0.000940855
134,7512.13,0.85382,0.53606,1.21815,0.96769,0.94309,0.96488,0.55247,1.31265,0.57911,1.82528,0.000935354,0.000935354,0.000935354
135,7564.82,0.85335,0.52332,1.23541,0.94066,0.93417,0.95825,0.5586,1.30076,0.59746,1.79767,0.000929853,0.000929853,0.000929853
136,7618.62,0.81331,0.50824,1.19304,0.92651,0.9322,0.94898,0.53869,1.33054,0.58786,1.81462,0.000924352,0.000924352,0.000924352
137,7673.07,0.86172,0.52629,1.24189,0.93612,0.95673,0.9562,0.55986,1.28074,0.57019,1.78517,0.00091885,0.00091885,0.00091885
138,7727.12,0.81526,0.5113,1.1994,0.94204,0.94373,0.96024,0.56345,1.29327,0.55511,1.82933,0.000913349,0.000913349,0.000913349
139,7781.47,0.82413,0.52342,1.19888,0.92883,0.95833,0.95036,0.56157,1.26292,0.55327,1.79015,0.000907848,0.000907848,0.000907848
140,7835.77,0.84214,0.53554,1.2228,0.93105,0.9604,0.9646,0.57126,1.25019,0.54765,1.75947,0.000902347,0.000902347,0.000902347
141,7890.16,0.82037,0.50184,1.22375,0.94173,0.95428,0.96424,0.57201,1.23945,0.56552,1.7323,0.000896846,0.000896846,0.000896846
142,7939.51,0.79392,0.50018,1.18026,0.95463,0.97222,0.96231,0.56886,1.27933,0.57334,1.7646,0.000891345,0.000891345,0.000891345
143,7989.44,0.79102,0.49763,1.19088,0.94033,0.93661,0.95174,0.54787,1.2689,0.59329,1.76255,0.000885844,0.000885844,0.000885844
144,8039.72,0.789,0.49029,1.18983,0.93977,0.94185,0.95431,0.5586,1.25845,0.56687,1.75044,0.000880343,0.000880343,0.000880343
145,8089.89,0.82807,0.51408,1.23343,0.9534,0.94415,0.96273,0.56387,1.27853,0.51931,1.79293,0.000874842,0.000874842,0.000874842
146,8140.66,0.7975,0.49548,1.19357,0.96722,0.93883,0.9637,0.58203,1.22771,0.54463,1.7645,0.00086934,0.00086934,0.00086934
147,8194.76,0.81953,0.49827,1.20465,0.97158,0.93778,0.96989,0.57432,1.24187,0.55178,1.75761,0.000863839,0.000863839,0.000863839
148,8249.33,0.79869,0.49628,1.18982,0.96599,0.92884,0.95547,0.56791,1.24397,0.53703,1.73918,0.000858338,0.000858338,0.000858338
149,8319.67,0.77672,0.46425,1.16826,0.94306,0.90278,0.94054,0.55835,1.28275,0.53136,1.83031,0.000852837,0.000852837,0.000852837
150,8421.76,0.80796,0.49034,1.16553,0.93139,0.91895,0.9541,0.54004,1.28031,0.56598,1.85588,0.000847336,0.000847336,0.000847336
151,8470.03,0.79291,0.50426,1.19553,0.90971,0.94045,0.93775,0.52863,1.30168,0.5729,1.88137,0.000841835,0.000841835,0.000841835
152,8519.18,0.77622,0.5122,1.1759,0.95632,0.94519,0.97708,0.57816,1.27947,0.54748,1.79059,0.000836334,0.000836334,0.000836334
153,8567.9,0.81343,0.50636,1.19825,0.98251,0.95229,0.97135,0.57412,1.28828,0.5492,1.79455,0.000830833,0.000830833,0.000830833
154,8616.63,0.80202,0.49123,1.19049,0.97206,0.93056,0.96602,0.5618,1.29811,0.54555,1.88139,0.000825332,0.000825332,0.000825332
155,8666.11,0.79968,0.48825,1.20717,0.98241,0.929,0.95399,0.55662,1.30974,0.54437,1.87591,0.000819831,0.000819831,0.000819831
156,8719.77,0.78484,0.49155,1.17818,0.94981,0.94444,0.96118,0.57149,1.30015,0.57637,1.82416,0.000814329,0.000814329,0.000814329
157,8773.01,0.79768,0.49255,1.19611,0.95391,0.96949,0.95319,0.57688,1.24876,0.53629,1.7495,0.000808828,0.000808828,0.000808828
158,8826.03,0.80024,0.47747,1.19654,0.92642,0.94444,0.93234,0.55853,1.26881,0.52528,1.81053,0.000803327,0.000803327,0.000803327
159,8879.95,0.78082,0.48336,1.17968,0.93329,0.88889,0.94443,0.58023,1.24254,0.53594,1.80794,0.000797826,0.000797826,0.000797826
160,8942.02,0.76078,0.47766,1.18137,0.95078,0.91357,0.94985,0.55495,1.29007,0.54337,1.88097,0.000792325,0.000792325,0.000792325
161,8990.46,0.78098,0.4874,1.21348,0.94978,0.8995,0.93947,0.54501,1.27938,0.55712,1.84598,0.000786824,0.000786824,0.000786824
162,9098.67,0.76253,0.47166,1.17208,0.94001,0.88889,0.91978,0.54712,1.2788,0.54583,1.86243,0.000781323,0.000781323,0.000781323
163,9179.11,0.78183,0.47987,1.19986,0.9583,0.88889,0.93112,0.55528,1.26663,0.55474,1.86811,0.000775822,0.000775822,0.000775822
164,9280.95,0.75172,0.5002,1.1701,0.92467,0.93056,0.93973,0.56812,1.22225,0.5346,1.82655,0.000770321,0.000770321,0.000770321
165,9369.54,0.76465,0.46897,1.17836,0.9678,0.9417,0.96154,0.58302,1.2597,0.55691,1.80229,0.00076482,0.00076482,0.00076482
166,81.6664,0.76471,0.4914,1.15296,0.85316,0.83333,0.87829,0.53358,1.20506,0.57467,1.77488,0.000759318,0.000759318,0.000759318
167,172.416,0.75583,0.48625,1.17349,0.9328,0.91667,0.9413,0.56689,1.23734,0.56659,1.83066,0.000753817,0.000753817,0.000753817
168,222.059,0.76316,0.46679,1.17966,0.96471,0.93056,0.96796,0.57674,1.25196,0.55405,1.83397,0.000748316,0.000748316,0.000748316
169,272.131,0.75766,0.46754,1.17669,0.95089,0.94444,0.96562,0.56657,1.24637,0.55219,1.84517,0.000742815,0.000742815,0.000742815
170,368.204,0.78355,0.48945,1.18975,0.96194,0.95833,0.97293,0.58297,1.22175,0.50805,1.79693,0.000737314,0.000737314,0.000737314
171,420.414,0.75878,0.47349,1.16722,0.96579,0.95833,0.97421,0.5942,1.22328,0.5138,1.80509,0.000731813,0.000731813,0.000731813
172,486.374,0.72258,0.45151,1.15835,0.96075,0.93056,0.96833,0.55709,1.29285,0.57754,1.90121,0.000726312,0.000726312,0.000726312
173,546.228,0.73915,0.47204,1.17809,0.96703,0.94358,0.96412,0.5438,1.29863,0.5902,1.92362,0.000720811,0.000720811,0.000720811
174,593.311,0.73686,0.46106,1.15827,0.9468,0.93056,0.95861,0.56421,1.2833,0.56282,1.89899,0.00071531,0.00071531,0.00071531
175,640.565,0.7486,0.47317,1.15555,0.95486,0.94376,0.95667,0.5709,1.24192,0.54742,1.79602,0.000709809,0.000709809,0.000709809
176,687.823,0.74005,0.45925,1.16718,0.9835,0.94061,0.96394,0.56956,1.23761,0.51551,1.7874,0.000704307,0.000704307,0.000704307
177,735.315,0.73582,0.45911,1.16125,0.94143,0.95833,0.97559,0.58008,1.26341,0.53971,1.81132,0.000698806,0.000698806,0.000698806
178,782.948,0.74198,0.47057,1.15331,0.95953,0.95833,0.97786,0.57998,1.26625,0.54754,1.82756,0.000693305,0.000693305,0.000693305
